hardware_id,code_id,so,reps_per_iter,level,iter,total,mean,median,n
-1,6,-1,100,0,1,424.738000,4.247380,4.190500,1000
-1,6,-1,100,0,2,547.804999,5.478050,5.428000,1000
-1,6,-1,100,0,3,584.465001,5.844650,5.840000,1000
-1,6,-1,100,0,4,443.412001,4.434120,5.307000,1000
-1,6,-1,100,0,5,226.617999,2.266180,2.194500,1000
-1,6,-1,100,0,6,356.292999,3.562930,2.227500,1000
-1,6,-1,100,0,7,563.735001,5.637350,5.422000,1000
-1,6,-1,100,0,8,561.478999,5.614790,5.822500,1000
-1,6,-1,100,0,9,554.216001,5.542160,5.684500,1000
-1,6,-1,100,0,10,551.036000,5.510360,5.250000,1000
-1,6,-1,100,0,11,551.308001,5.513080,5.499500,1000
-1,6,-1,100,0,12,556.125997,5.561260,5.642500,1000
-1,6,-1,100,0,13,553.362000,5.533620,5.458000,1000
-1,6,-1,100,0,14,552.704000,5.527040,5.851500,1000
-1,6,-1,100,0,15,271.623000,2.716230,2.006500,1000
-1,6,-1,100,0,16,333.323000,3.333230,5.590500,1000
-1,6,-1,100,0,17,511.828000,5.118280,5.514500,1000
-1,6,-1,100,0,18,569.897999,5.698980,5.618000,1000
